image,target
frame_69_0.png,3
frame_69_1.png,3
frame_69_2.png,3
frame_69_3.png,1
frame_69_4.png,0
frame_69_5.png,1
frame_69_6.png,0
frame_69_7.png,2
frame_69_8.png,0
frame_69_9.png,0
frame_69_10.png,0
frame_69_11.png,1
frame_69_12.png,0
frame_69_13.png,0
frame_69_14.png,0
frame_69_15.png,0
frame_69_16.png,3
frame_69_17.png,3
frame_69_18.png,0
frame_69_19.png,3
frame_69_20.png,3
frame_69_21.png,0
frame_69_22.png,3
frame_69_23.png,3
frame_69_24.png,0
frame_69_25.png,1
frame_69_26.png,1
frame_69_27.png,1
frame_69_28.png,1
frame_69_29.png,1
frame_69_30.png,1
frame_69_31.png,1
frame_69_32.png,1
frame_69_33.png,1
frame_69_34.png,1
frame_69_35.png,1
frame_69_36.png,1
frame_69_37.png,1
frame_69_38.png,1
frame_69_39.png,1
frame_69_40.png,1
frame_69_41.png,1
frame_69_42.png,0
frame_69_43.png,0
frame_69_44.png,4
frame_69_45.png,1
frame_69_46.png,1
frame_69_47.png,1
frame_69_48.png,1
frame_69_49.png,1
frame_69_50.png,1
frame_69_51.png,1
frame_69_52.png,1
frame_69_53.png,1
frame_69_54.png,1
frame_69_55.png,1
frame_69_56.png,1
frame_69_57.png,1
frame_69_58.png,1
frame_69_59.png,1
frame_69_60.png,1
frame_69_61.png,1
frame_69_62.png,1
frame_69_63.png,1
frame_69_64.png,1
frame_69_65.png,1
frame_69_66.png,1
frame_69_67.png,1
frame_69_68.png,1
frame_69_69.png,1
frame_69_70.png,1
frame_69_71.png,1
frame_69_72.png,1
frame_69_73.png,1
frame_69_74.png,1
frame_69_75.png,1
frame_69_76.png,1
frame_69_77.png,1
frame_69_78.png,1
frame_69_79.png,1
frame_69_80.png,1
frame_69_81.png,1
frame_69_82.png,1
frame_69_83.png,1
frame_69_84.png,1
frame_69_85.png,1
frame_69_86.png,1
frame_69_87.png,1
frame_69_88.png,1
frame_69_89.png,1
frame_69_90.png,1
frame_69_91.png,1
frame_69_92.png,1
frame_69_93.png,1
frame_69_94.png,1
frame_69_95.png,1
frame_69_96.png,1
frame_69_97.png,1
frame_69_98.png,1
frame_69_99.png,1
frame_69_100.png,1
frame_69_101.png,1
frame_69_102.png,1
frame_69_103.png,1
frame_69_104.png,1
frame_69_105.png,1
frame_69_106.png,1
frame_69_107.png,1
frame_69_108.png,1
frame_69_109.png,1
frame_69_110.png,1
frame_69_111.png,1
frame_69_112.png,1
frame_69_113.png,1
frame_69_114.png,1
frame_69_115.png,1
frame_69_116.png,1
frame_69_117.png,1
frame_69_118.png,1
frame_69_119.png,1
frame_69_120.png,1
frame_69_121.png,1
frame_69_122.png,1
frame_69_123.png,1
frame_69_124.png,1
frame_69_125.png,1
frame_69_126.png,1
frame_69_127.png,1
frame_69_128.png,1
frame_69_129.png,1
frame_69_130.png,1
frame_69_131.png,1
frame_69_132.png,1
frame_69_133.png,1
frame_69_134.png,1
frame_69_135.png,1
frame_69_136.png,1
frame_69_137.png,1
frame_69_138.png,1
frame_69_139.png,1
frame_69_140.png,1
frame_69_141.png,1
frame_69_142.png,1
frame_69_143.png,1
frame_69_144.png,1
frame_69_145.png,1
frame_69_146.png,1
frame_69_147.png,1
frame_69_148.png,1
frame_69_149.png,1
frame_69_150.png,1
