BackL	BackR	FrontL	FrontR	FrontC	FrontRR	BackC	FrontLL
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9.0	5.0	33.0	32.0	20.0	13.0	24.0	13.0
9.0	5.0	33.0	32.0	20.0	13.0	24.0	13.0
9.0	5.0	33.0	32.0	20.0	13.0	24.0	13.0
9.0	5.0	33.0	32.0	20.0	13.0	24.0	13.0
9.0	5.0	33.0	32.0	20.0	13.0	24.0	13.0
8.0	5.0	43.0	47.0	36.0	21.0	22.0	16.0
8.0	5.0	43.0	47.0	36.0	21.0	22.0	16.0
8.0	5.0	53.0	63.0	34.0	26.0	22.0	19.0
8.0	5.0	53.0	63.0	34.0	26.0	22.0	19.0
8.0	4.0	61.0	72.0	50.0	32.0	23.0	25.0
8.0	4.0	79.0	96.0	57.0	42.0	21.0	27.0
8.0	4.0	79.0	96.0	57.0	42.0	21.0	27.0
8.0	4.0	107.0	128.0	68.0	57.0	21.0	42.0
7.0	4.0	122.0	159.0	90.0	63.0	20.0	49.0
8.0	4.0	156.0	191.0	115.0	83.0	20.0	60.0
8.0	4.0	192.0	238.0	138.0	100.0	20.0	75.0
7.0	4.0	265.0	333.0	180.0	140.0	20.0	99.0
7.0	4.0	443.0	552.0	216.0	176.0	20.0	126.0
7.0	4.0	555.0	728.0	246.0	251.0	20.0	174.0
7.0	4.0	812.0	1077.0	278.0	472.0	19.0	229.0
7.0	4.0	2167.0	3025.0	278.0	472.0	19.0	381.0
7.0	4.0	5933.0	5604.0	358.0	1266.0	19.0	541.0
7.0	4.0	7430.0	6317.0	365.0	1364.0	19.0	650.0
7.0	4.0	7572.0	6669.0	365.0	1426.0	19.0	669.0
7.0	4.0	7633.0	6797.0	361.0	1461.0	19.0	674.0
8.0	4.0	7683.0	6869.0	359.0	1461.0	19.0	681.0
7.0	4.0	7672.0	6826.0	359.0	1482.0	19.0	688.0
7.0	4.0	7751.0	6895.0	357.0	1500.0	19.0	703.0
7.0	4.0	7809.0	6896.0	356.0	1506.0	19.0	711.0
7.0	4.0	7809.0	6949.0	356.0	1521.0	19.0	711.0
7.0	4.0	7831.0	7015.0	355.0	1531.0	18.0	711.0
7.0	4.0	7990.0	7055.0	351.0	1553.0	19.0	727.0
7.0	4.0	8055.0	7349.0	349.0	1594.0	19.0	739.0
7.0	4.0	8036.0	7282.0	349.0	1647.0	19.0	753.0
7.0	4.0	8110.0	7328.0	346.0	1676.0	19.0	770.0
