BackL   BackR   FrontL  FrontR  FrontC  FrontRR BackC   FrontLL
6       6       52      52      5       5       57      5
6       6       52      52      5       5       57      5
6       6       52      52      5       5       57      5
6       6       52      52      5       5       57      5
6       6       52      52      5       5       57      5
6       6       52      52      10      5       57      5
6       6       52      53      14      5       57      5
6       6       53      54      16      5       57      5
6       6       54      55      17      8       57      5
6       6       55      56      19      10      57      8
6       6       56      56      22      13      57      10
6       6       57      57      27      14      57      11
6       6       58      59      33      19      57      14
6       6       61      63      42      22      57      19
6       6       66      68      56      28      57      23
6       6       74      77      79      38      57      31
6       6       92      98      120     54      57      44
6       6       134     148     205     86      57      69
6       6       258     297     443     160     57      124
6       6       753     945     1767    416     57      294
6       6       6323    11886   1976833 1978    57      1159
6       6       6691    10854   1692694 1839    57      1229
6       6       368     421     672     214     57      170
6       6       132     142     198     82      57      69
6       6       82      84      96      44      57      38
6       6       67      68      57      28      57      25
6       6       60      61      38      20      57      18
6       6       57      58      28      14      57      13
6       6       56      56      21      10      57      10
6       6       55      55      18      8       57      7
6       6       54      54      16      5       57      5
6       6       52      52      14      5       57      5
6       6       52      52      5       5       57      5
6       6       52      52      5       5       57      5
6       6       52      52      5       5       57      5
6       6       52      52      5       5       57      5
6       6       52      52      5       5       57      5
6       7       52      52      5       5       60      5
10      12      52      52      5       5       61      5
13      16      52      52      5       5       62      5
17      19      52      52      5       5       63      5
21      23      52      52      5       5       66      5
27      32      52      52      5       5       72      5
39      48      52      52      5       5       84      5
64      79      52      52      5       5       120     5
126     163     52      52      5       5       259     5
386     549     52      52      5       5       1239    5
2166    4216    52      52      5       5       2905681 5
